species,dd long,dd lat
Btrigonus,20320,1
Btrigonus,20364,1
Btrigonus,20371,1
Btrigonus,20373,1
Btrigonus,20374,1
Btrigonus,20375,1
Btrigonus,20376,1
Btrigonus,20377,1
Btrigonus,20378,1
Btrigonus,20379,1
Btrigonus,20380,1
Btrigonus,20381,1
Btrigonus,20382,1
Btrigonus,20383,1
Btrigonus,20528,1
Btrigonus,20558,1
Btrigonus,20559,1
Btrigonus,20560,1
Btrigonus,20561,1
Btrigonus,20563,1
Btrigonus,20564,1
Btrigonus,20565,1
Btrigonus,20566,1
Btrigonus,20567,1
Btrigonus,20568,1
Btrigonus,20569,1
Btrigonus,20570,1
Btrigonus,20571,1
Btrigonus,20572,1
Btrigonus,20573,1
Btrigonus,20574,1
Btrigonus,20575,1
Btrigonus,20707,1
Btrigonus,20724,1
Btrigonus,20745,1
Btrigonus,20746,1
Btrigonus,20749,1
Btrigonus,20750,1
Btrigonus,20751,1
Btrigonus,20752,1
Btrigonus,20753,1
Btrigonus,20754,1
Btrigonus,20755,1
Btrigonus,20756,1
Btrigonus,20757,1
Btrigonus,20758,1
Btrigonus,20760,1
Btrigonus,20761,1
Btrigonus,20762,1
Btrigonus,20764,1
Btrigonus,20765,1
Btrigonus,20877,1
Btrigonus,20885,1
Btrigonus,20886,1
Btrigonus,20895,1
Btrigonus,20896,1
Btrigonus,20899,1
Btrigonus,20914,1
Btrigonus,20915,1
Btrigonus,20916,1
Btrigonus,20917,1
Btrigonus,20918,1
Btrigonus,20919,1
Btrigonus,20920,1
Btrigonus,20922,1
Btrigonus,20923,1
Btrigonus,20924,1
Btrigonus,20925,1
Btrigonus,20926,1
Btrigonus,20927,1
Btrigonus,20928,1
Btrigonus,20930,1
Btrigonus,21053,1
Btrigonus,21054,1
Btrigonus,21059,1
Btrigonus,21060,1
Btrigonus,21062,1
Btrigonus,21066,1
Btrigonus,21090,1
Btrigonus,21092,1
Btrigonus,21093,1
Btrigonus,21094,1
Btrigonus,21095,1
Btrigonus,21096,1
Btrigonus,21097,1
Btrigonus,21098,1
Btrigonus,21099,1
Btrigonus,21100,1
Btrigonus,21101,1
Btrigonus,21102,1
Btrigonus,21103,1
Btrigonus,21104,1
Btrigonus,21105,1
Btrigonus,21224,1
Btrigonus,21230,1
Btrigonus,21232,1
Btrigonus,21233,1
Btrigonus,21235,1
Btrigonus,21238,1
Btrigonus,21242,1
Btrigonus,21246,1
Btrigonus,21247,1
Btrigonus,21249,1
Btrigonus,21251,1
Btrigonus,21255,1
Btrigonus,21256,1
Btrigonus,21257,1
Btrigonus,21258,1
Btrigonus,21259,1
Btrigonus,21260,1
Btrigonus,21261,1
Btrigonus,21262,1
Btrigonus,21263,1
Btrigonus,21264,1
Btrigonus,21265,1
Btrigonus,21266,1
Btrigonus,21267,1
Btrigonus,21268,1
Btrigonus,21269,1
Btrigonus,21270,1
Btrigonus,21271,1
Btrigonus,21272,1
Btrigonus,21274,1
Btrigonus,21275,1
Btrigonus,21276,1
Btrigonus,21277,1
Btrigonus,21400,1
Btrigonus,21401,1
Btrigonus,21403,1
Btrigonus,21404,1
Btrigonus,21405,1
Btrigonus,21406,1
Btrigonus,21407,1
Btrigonus,21408,1
Btrigonus,21410,1
Btrigonus,21411,1
Btrigonus,21412,1
Btrigonus,21413,1
Btrigonus,21416,1
Btrigonus,21417,1
Btrigonus,21421,1
Btrigonus,21422,1
Btrigonus,21423,1
Btrigonus,21424,1
Btrigonus,21425,1
Btrigonus,21426,1
Btrigonus,21427,1
Btrigonus,21553,1
Btrigonus,21561,1
Btrigonus,21562,1
Btrigonus,21563,1
Btrigonus,21564,1
Btrigonus,21566,1
Btrigonus,21567,1
Btrigonus,21569,1
Btrigonus,21570,1
Btrigonus,21571,1
